nodeId,labels,properties
0,[Entity],"{name: International Classification of Sleep Disorders Third Edition, label: Document}"
1,[Entity],"{name: CI S ers D3, label: Concept}"
2,[Entity],"{name: American Academy of Sleep Medicine, label: Document}"
3,[Entity],"{name: Manual, label: Concept}"
4,[Entity],"{name: Copyright, label: Concept}"
5,[Entity],"{name: Distribution Rights, label: Concept}"
6,[Entity],"{name: Location, label: Concept}"
7,[Entity],"{name: copyright permissions, label: Concept}"
8,[Entity],"{name: translations, label: Concept}"
9,[Entity],"{name: Executive Director, American Academy of Sleep Medicine, label: Document}"
10,[Entity],"{name: correspondence, label: Concept}"
11,[Entity],"{name: recommended citation, label: Concept}"
12,[Entity],"{name: International classification of sleep disorders, 3rd edition, label: Document}"
13,[Entity],"{name: ICD-10, label: Concept}"
14,[Entity],"{name: American Academy of Sleep Medicine, 2014, label: Document}"
15,[Entity],"{name: Guidelines, label: Concept}"
16,[Entity],"{name: positive airway pressure, label: Concept}"
17,[Entity],"{name: CPAP, label: Treatment}"
18,[Entity],"{name: Sleep Disorders, label: Concept}"
19,[Entity],"{name: Classification, label: Document}"
20,[Entity],"{name: Polysomnography, label: Test}"
21,[Entity],"{name: Diagnosis, label: Document}"
22,[Entity],"{name: Insomnia, label: Condition}"
23,[Entity],"{name: Chronic Insomnia Disorder, label: Concept}"
24,[Entity],"{name: Short-Term Insomnia Disorder, label: Condition}"
25,[Entity],"{name: Insomnia Disorder, label: Concept}"
26,[Entity],"{name: Other Insomnia Disorder, label: Condition}"
27,[Entity],"{name: Excessive Time in Bed, label: Condition}"
28,[Entity],"{name: Short Sleeper, label: Condition}"
29,[Entity],"{name: Sleep Related Breathing Disorders, label: Condition}"
30,[Entity],"{name: Obstructive Sleep Apnea, Adult, label: Condition}"
31,[Entity],"{name: Obstructive Sleep Apnea, label: Condition}"
32,[Entity],"{name: Obstructive Sleep Apnea, Pediatric, label: Condition}"
33,[Entity],"{name: Central Sleep Apnea with Cheyne-Stokes Breathing, label: Condition}"
34,[Entity],"{name: Central Sleep Apnea Syndromes, label: Condition}"
35,[Entity],"{name: Central Sleep Apnea Due to High Altitude Periodic Breathing, label: Condition}"
36,[Entity],"{name: High Altitude, label: Concept}"
37,[Entity],"{name: Periodic Breathing, label: Concept}"
38,[Entity],"{name: Central Sleep Apnea Due to a Medication or Substance, label: Condition}"
39,[Entity],"{name: Medication or Substance, label: Concept}"
40,[Entity],"{name: Primary Central Sleep Apnea of Infancy, label: Condition}"
41,[Entity],"{name: Sleep Apnea, label: Concept}"
42,[Entity],"{name: Primary Central Sleep Apnea of Prematurity, label: Condition}"
43,[Entity],"{name: Central Sleep Apnea, label: Concept}"
44,[Entity],"{name: Emergent Central Sleep Apnea, label: Treatment}"
45,[Entity],"{name: SLEEP RELATED HYPOVENTILATION DISORDERS, label: Condition}"
46,[Entity],"{name: Obesity Hypoventilation Syndrome, label: Concept}"
47,[Entity],"{name: Congenital Central Alveolar Hypoventilation Syndrome, label: Concept}"
48,[Entity],"{name: Obesity, label: RiskFactor}"
49,[Entity],"{name: Late-Onset Central Hypoventilation with Hypothalamic Dysfunction, label: Condition}"
50,[Entity],"{name: Hypothalamic Dysfunction, label: Concept}"
51,[Entity],"{name: Central Hypoventilation, label: Concept}"
52,[Entity],"{name: Idiopathic Central Alveolar Hypoventilation, label: Condition}"
53,[Entity],"{name: Sleep Related Hypoventilation, label: Concept}"
54,[Entity],"{name: Sleep Related Hypoventilation Due to a Medication or Substance, label: Condition}"
55,[Entity],"{name: Sleep Related Hypoventilation Due to a Medical Disorder, label: Condition}"
56,[Entity],"{name: Medical Disorder, label: Concept}"
57,[Entity],"{name: Polysomnography or Arterial Blood Gas, label: Test}"
58,[Entity],"{name: CPAP or Surgery, label: Treatment}"
59,[Entity],"{name: Improved Oxygen Saturation or Reduced Fatigue, label: Outcome}"
60,[Entity],"{name: Sleep Related Hypoxemia Disorder, label: Condition}"
61,[Entity],"{name: Sleep Related Hypoxemia, label: Concept}"
62,[Entity],"{name: Hypoxemia, label: Symptom}"
63,[Entity],"{name: Snoring, label: Symptom}"
64,[Entity],"{name: Isolated Symptoms and Normal Variants, label: Concept}"
65,[Entity],"{name: Central Disorders of Hypersomnolence, label: Condition}"
66,[Entity],"{name: , label: None}"
67,[Entity],"{name: Narcolepsy Type 1, label: Condition}"
68,[Entity],"{name: Narcolepsy Type 2, label: Condition}"
69,[Entity],"{name: Idiopathic Hypersomnia, label: Condition}"
70,[Entity],"{name: Kleine-Levin Syndrome, label: Condition}"
71,[Entity],"{name: Hypersomnia Due to a Medical Disorder, label: Condition}"
72,[Entity],"{name: Hypersomnia Due to a Medication or Substance, label: Condition}"
73,[Entity],"{name: Hypersomnia Associated with a Psychiatric Disorder, label: Condition}"
74,[Entity],"{name: Psychiatric Disorder, label: Concept}"
75,[Entity],"{name: Insufficient Sleep Syndrome, label: Condition}"
76,[Entity],"{name: Chronic condition, label: Concept}"
77,[Entity],"{name: Daytime fatigue, label: Outcome}"
78,[Entity],"{name: Lifestyle factors, label: RiskFactor}"
