source,target,relationshipType,properties
16,17,RELATED,"{order: 9, description: CPAP is a type of positive airway pressure therapy used in the treatment of conditions such as Obstructive Sleep Apnea., metadata: {\""summary\"": \""The text is a comprehensive research article examining the impact of climate change on global biodiversity, with a focus on terrestrial ecosystems. It discusses the mechanisms through which climate change affects species distribution, abundance, and diversity, including temperature increases, altered precipitation patterns, and increased frequency of extreme weather events. The article also explores the synergistic effects of climate change with other drivers of biodiversity loss, such as land use change and invasive species. It concludes by highlighting the urgent need for effective conservation strategies that address both the direct and indirect impacts of climate change on biodiversity. The article includes bibliographies and an index for further reference.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
18,19,RELATED,"{order: 10, description: relates_to, metadata: {\""summary\"": \""The text is about the classification of sleep disorders. Sleep disorders are conditions that prevent a person from getting restful sleep and can be categorized into four main groups: 1) Insomnia disorders, which involve difficulty falling asleep or staying asleep. 2) Sleep-related breathing disorders, such as sleep apnea. 3) Sleep-related movement disorders, including restless leg syndrome. 4) Parasomnias, which involve abnormal behaviors or experiences during sleep, such as sleepwalking or night terrors. Additionally, there is a category for other sleep disorders that do not fit into these four groups.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
20,18,RELATED,"{order: 11, description: requires_test, metadata: {\""summary\"": \""This book, titled \\""Sleep Disorders - Diagnosis\\"" and with ISBNs 0991543416 (print) and 0991543408 (online), is likely a medical reference guide focusing on the diagnosis of various sleep disorders. It probably covers different types of sleep disorders, their symptoms, and diagnostic procedures, providing valuable information for healthcare professionals and people suffering from sleep disorders.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
21,18,RELATED,"{order: 11, description: relates_to, metadata: {\""summary\"": \""This book, titled \\""Sleep Disorders - Diagnosis\\"" and with ISBNs 0991543416 (print) and 0991543408 (online), is likely a medical reference guide focusing on the diagnosis of various sleep disorders. It probably covers different types of sleep disorders, their symptoms, and diagnostic procedures, providing valuable information for healthcare professionals and people suffering from sleep disorders.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
22,23,RELATED,"{order: 12, description: Insomnia is a general medical concept that relates to Chronic Insomnia Disorder, a more specific condition., metadata: {\""summary\"": \""The text is a tribute in memory of Peter Hauri, a mentor, colleague, and friend, and includes a table of contents, editor's notes, acknowledgments, and an introduction. The main topic of the text is insomnia and chronic insomnia disorder.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
24,25,RELATED,"{order: 13, description: Short-Term Insomnia Disorder is a specific type of Insomnia Disorder., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
26,25,RELATED,"{order: 13, description: Other Insomnia Disorder is a type of Insomnia Disorder., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
27,27,RELATED,"{order: 13, description: Excessive Time in Bed is a symptom and a condition at the same time, as per the context., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
28,28,RELATED,"{order: 13, description: Short Sleeper is a symptom and a condition at the same time, as per the context., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
29,18,RELATED,"{order: 13, description: Sleep Related Breathing Disorders is a type of Sleep Disorders., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
