International	DOCUMENT
Classification	DOCUMENT
of	DOCUMENT
Sleep	DOCUMENT
Disord	DOCUMENT
Third	DOCUMENT
Edition	DOCUMENT
CI	
S	
ers	
D3	
American	
Academy	
of	
Sleep	
Medicine	
International	DOCUMENT
Classification	DOCUMENT
of	DOCUMENT
Sleep	DOCUMENT
Disord	DOCUMENT
Third	DOCUMENT
Edition	DOCUMENT
CI	DOCUMENT
S	DOCUMENT
ers	DOCUMENT
D3	DOCUMENT
American	
Academy	
of	
Sleep	
Medicine	
Copyright	
©	
2014	
American	
Academy	
of	
Sleep	
Medicine	
,	
2510	
North	
Frontage	
Road	
,	
Darien	
,	
IL	
60561	
,	
U.S.A.	
Copies	
of	
the	
manual	DOCUMENT
are	
available	
from	
the	
American	
Academy	
of	
Sleep	
Medicine	
in	
the	
U.S.A.	
All	
rights	
reserved	
.	
Unless	
authorized	
in	
writing	
by	
the	
AASM	
,	
no	
portion	
of	
this	
book	DOCUMENT
may	
be	
reproduced	
or	
used	
in	
a	
manner	
inconsistent	
with	
the	
copyright	
.	
This	
applies	
to	
unauthorized	
reproductions	
in	
any	
form	
,	
including	
computer	DOCUMENT
programs	DOCUMENT
.	
Correspondence	
regarding	
copyright	
permissions	
should	
be	
directed	
to	
the	
Executive	
Director	
,	
American	
Academy	
of	
Sleep	
Medicine	
,	
2510	
North	
Frontage	
Road	
,	
Darien	
,	
IL	
60561	
,	
U.S.A.	
Translations	
to	
other	
languages	
must	
be	
authorized	
by	
the	
American	
Academy	
of	
Sleep	
Medicine	
,	
U.S.A.	
Recommended	
Citation	
American	
Academy	
of	
Sleep	
Medicine	
.	
International	DOCUMENT
classification	DOCUMENT
of	DOCUMENT
sleep	DOCUMENT
disorders	DOCUMENT
,	
3rd	
ed	
.	
Darien	
,	
IL	
:	
American	
Academy	
of	
Sleep	
Medicine	
,	
2014	
.	
International	DOCUMENT
classification	DOCUMENT
of	DOCUMENT
sleep	DOCUMENT
disorders	DOCUMENT
,	
3rd	
ed	
.	
American	
Academy	
of	
Sleep	
Medicine	
.	
Includes	
bibliographies	
and	
index	
.	
.	
Sleep	CONDITION
Disorders	CONDITION
–	
Classification	CONCEPT
.	
2	
.	
Sleep	CONDITION
Disorders	CONDITION
–	
Diagnosis	
ISBN	
:	
0991543416	
(	
print	
)	
ISBN	
:	
0991543408	
(	
online	
)	
In	
memory	
of	
Peter	
Hauri	
,	
PhD	
mentor	
,	
colleague	
and	
friend	
Table	
of	
Contents	
About	
the	
Editor	
8	
Editor	
’s	
Notes	
9	
Acknowledgments10	
Introduction13	
Insomnia19	CONDITION
Chronic	CONDITION
Insomnia	CONDITION
Disorder	CONDITION
21	
Short	
-	
Term	
Insomnia	
Disorder41	
Other	
Insomnia	
Disorder46	
ISOLATED	
SYMPTOMS	SYMPTOM
AND	
NORMAL	
VARIANTS	
Excessive	RISKFACTOR
Time	RISKFACTOR
in	RISKFACTOR
Bed47	RISKFACTOR
Short	
Sleeper47	
Sleep	CONDITION
Related	CONDITION
Breathing	CONDITION
Disorders	CONDITION
49	
OBSTRUCTIVE	CONDITION
SLEEP	CONDITION
APNEA	CONDITION
DISORDERS	CONDITION
Obstructive	
Sleep	
Apnea	
,	
Adult	
53	
Obstructive	
Sleep	
Apnea	
,	
Pediatric	
63	
CENTRAL	CONDITION
SLEEP	CONDITION
