International	
Classification	
of	
Sleep	
Disord	
Third	
Edition	
CI	GENE_OR_GENE_PRODUCT
S	GENE_OR_GENE_PRODUCT
ers	GENE_OR_GENE_PRODUCT
D3	GENE_OR_GENE_PRODUCT
American	
Academy	
of	
Sleep	
Medicine	
International	
Classification	
of	
Sleep	
Disord	
Third	
Edition	
CI	GENE_OR_GENE_PRODUCT
S	GENE_OR_GENE_PRODUCT
ers	GENE_OR_GENE_PRODUCT
D3	GENE_OR_GENE_PRODUCT
American	
Academy	
of	
Sleep	
Medicine	

Copyright	GENE_OR_GENE_PRODUCT
©	GENE_OR_GENE_PRODUCT
2014	
American	
Academy	
of	
Sleep	
Medicine	
,	
2510	
North	
Frontage	
Road	
,	
Darien	
,	
IL	GENE_OR_GENE_PRODUCT
60561	GENE_OR_GENE_PRODUCT
,	
U.S.A.	GENE_OR_GENE_PRODUCT
Copies	GENE_OR_GENE_PRODUCT
of	
the	
manual	
are	
available	
from	
the	
American	
Academy	
of	
Sleep	
Medicine	
in	
the	
U.S.A.	ORGANISM
All	
rights	
reserved	
.	

Unless	
authorized	
in	
writing	
by	
the	
AASM	
,	
no	
portion	
of	
this	
book	
may	
be	
reproduced	
or	
used	
in	
a	
manner	
inconsistent	
with	
the	
copyright	
.	

This	
applies	
to	
unauthorized	
reproductions	
in	
any	
form	
,	
including	
computer	
programs	
.	

Correspondence	
regarding	
copyright	
permissions	
should	
be	
directed	
to	
the	
Executive	
Director	
,	
American	
Academy	
of	
Sleep	
Medicine	
,	
2510	
North	
Frontage	
Road	
,	
Darien	
,	
IL	GENE_OR_GENE_PRODUCT
60561	GENE_OR_GENE_PRODUCT
,	
U.S.A.	ORGANISM
Translations	
to	
other	
languages	
must	
be	
authorized	
by	
the	
American	
Academy	
of	
Sleep	
Medicine	
,	
U.S.A.	ORGANISM
Recommended	
Citation	
American	
Academy	
of	
Sleep	
Medicine	
.	

International	
classification	
of	
sleep	
disorders	
,	
3rd	
ed	
.	

Darien	
,	
IL	GENE_OR_GENE_PRODUCT
:	
American	
Academy	
of	
Sleep	
Medicine	
,	
2014	
.	

International	
classification	
of	
sleep	
disorders	
,	
3rd	
ed	
.	

American	
Academy	
of	
Sleep	
Medicine	
.	

Includes	
bibliographies	
and	
index	
.	
.	

Sleep	
Disorders	
–	
Classification	
.	

2	
.	
Sleep	
Disorders	
–	
Diagnosis	
ISBN	
:	
0991543416	
(	
print	
)	
ISBN	
:	
0991543408	
(	
online	
)	

In	
memory	
of	
Peter	
Hauri	
,	
PhD	
mentor	
,	
colleague	
and	
friend	
Table	
of	
Contents	
About	
the	
Editor	
8	
Editor	
’s	
Notes	
9	
Acknowledgments10	
Introduction13	
Insomnia19	
Chronic	
Insomnia	
Disorder	

21	
Short	
-	
Term	
Insomnia	
Disorder41	
Other	
Insomnia	
Disorder46	
ISOLATED	
SYMPTOMS	
AND	
NORMAL	
VARIANTS	
Excessive	
Time	
in	
Bed47	
Short	
Sleeper47	
Sleep	
Related	
Breathing	
Disorders	
49	
OBSTRUCTIVE	
SLEEP	
APNEA	SIMPLE_CHEMICAL
DISORDERS	
Obstructive	
Sleep	
Apnea	
,	
Adult	

53	
Obstructive	
Sleep	
Apnea	
,	
Pediatric	

63	
CENTRAL	
SLEEP	

APNEA	SIMPLE_CHEMICAL
SYNDROMES	
Central	
Sleep	
Apnea	
with	
Cheyne	
-	
Stokes	
Breathing	
69	
Central	
Apnea	
Due	
to	
a	
Medical	
Disorder	
without	
Cheyne	
-	
Stokes	
Breathing	

75	
Central	
Sleep	
Apnea	

Due	
to	
High	
Altitude	
Periodic	
Breathing79	
Central	
Sleep	
Apnea	
Due	
to	
a	
Medication	
or	
Substance85	
Primary	
Central	
Sleep	
Apnea	
89	

Primary	
Central	
Sleep	
Apnea	
of	
Infancy	

94	
Primary	
Central	
Sleep	
Apnea	
of	
Prematurity	

98	
Treatment	
-	
Emergent	
Central	
Sleep	
Apnea102	
SLEEP	
RELATED	
HYPOVENTILATION	
DISORDERS	
Obesity	
Hypoventilation	
Syndrome108	
Congenital	
Central	
Alveolar	MULTI_TISSUE_STRUCTURE
Hypoventilation	
Syndrome	

113	
Late	
-	
Onset	
Central	
Hypoventilation	
with	
Hypothalamic	
Dysfunction	

118	
Idiopathic	
Central	
Alveolar	MULTI_TISSUE_STRUCTURE
Hypoventilation	
121	
Sleep	
Related	
Hypoventilation	
Due	
to	
a	
Medication	
or	
Substance	
124	
Sleep	
Related	
Hypoventilation	
Due	
to	
a	
Medical	
Disorder	

128	
SLEEP	
RELATED	
HYPOXEMIA	
DISORDER	
Sleep	
Related	
Hypoxemia	

134	
Table	
of	
Contents	
ISOLATED	
SYMPTOMS	
AND	
NORMAL	
VARIANTS	

Snoring	
139	
Catathrenia	

141	
Central	
Disorders	
of	
Hypersomnolence143	
Narcolepsy	
Type	
1	

146	
Narcolepsy	
Type	
2	

155	
Idiopathic	
Hypersomnia	

161	
Kleine	
-	
Levin	
Syndrome166	
Hypersomnia	
Due	
to	
a	
Medical	
Disorder	

171	
Hypersomnia	
Due	
to	
a	
Medication	
or	
Substance	
175	
Hypersomnia	
Associated	
with	
a	
Psychiatric	
Disorder	

179	
Insufficient	
Sleep	
Syndrome	

182	
ISOLATED	
SYMPTOMS	
AND	
NORMAL	
VARIANTS	
Long	
Sleeper187	
Circadian	
Rhythm	
Sleep	
-	
Wake	
Disorders189	
Delayed	
Sleep	
-	
Wake	
Phase	
Disorder	
191	
Advanced	
Sleep	
-	
Wake	
Phase	
Disorder198	
Irregular	
Sleep	
-	
Wake	
Rhythm	
Disorder	

204	
Non-24	
-	
Hour	
Sleep	
-	
Wake	
Rhythm	
Disorder209	
Shift	
Work	
Disorder215	
Jet	
Lag	
Disorder220	
Circadian	
Sleep	
-	
Wake	
Disorder	
Not	
Otherwise	
Specified	
(	
NOS)224	
Parasomnias	
225	
NREM	
-	
RELATED	
PARASOMNIAS	
Disorders	
of	
Arousal	
(	
From	
NREM	CANCER
Sleep	
)	

228	
Confusional	
Arousals	

229	
Sleepwalking	

229	
Sleep	
Terrors	
230	
Sleep	
Related	
Eating	
Disorder240	
REM	
-	
RELATED	
PARASOMNIAS	
REM	
Sleep	
Behavior	
Disorder246	

Recurrent	
Isolated	
Sleep	
Paralysis254	
Nightmare	
Disorder257	
OTHER	
PARASOMNIAS	ORGAN
Exploding	
Head	CANCER
Syndrome	CANCER

264	
Sleep	
Related	
Hallucinations267	
Sleep	
Enuresis270	

Parasomnia	

Due	
to	
a	
Medical	
Disorder	

276	
Parasomnia	
Due	
to	
a	
Medication	
or	
Substance276	
Parasomnia	
,	
Unspecified	
278	
ISOLATED	
SYMPTOMS	
AND	
NORMAL	
VARIANTS	
Sleep	
Talking279	
Sleep	
Related	
Movement	
Disorders	
281	
Restless	
Legs	PATHOLOGICAL_FORMATION
Syndrome282	PATHOLOGICAL_FORMATION
Periodic	PATHOLOGICAL_FORMATION
Limb	PATHOLOGICAL_FORMATION
Movement	
Disorder292	
Sleep	
Related	
Leg	
Cramps299	
Sleep	
Related	
Bruxism	

303	
Sleep	
Related	
Rhythmic	
Movement	
Disorder312	
Benign	
Sleep	
Myoclonus	
of	
Infancy317	
Propriospinal	
Myoclonus	
at	
Sleep	
Onset321	
Sleep	
Related	
Movement	
Disorder	
Due	
to	
a	
Medical	
Disorder	

325	
Sleep	
Related	
Movement	
Disorder	
Due	
to	
a	
Medication	
or	
Substance326	
Sleep	
Related	
Movement	
Disorder	
,	
Unspecified	

327	
ISOLATED	
SYMPTOMS	
AND	
NORMAL	
VARIANTS	
Excessive	
Fragmentary	
Myoclonus	
328	
Hypnagogic	
Foot	
Tremor	
and	
Alternating	
Leg	CANCER
Muscle	CANCER
Activation	
330	
Sleep	
Starts	
(	
Hypnic	
Jerks	
)	

335	
Other	
Sleep	
Disorder339	
Appendix	
A	
:	
Sleep	
Related	
Medical	
and	
Neurological	
Disorders341	
Fatal	
Familial	
Insomnia342	
Sleep	
Related	
Epilepsy345	
Sleep	
Related	
Headaches	

350	
Sleep	
Related	
Laryngospasm355	
Sleep	
Related	
Gastroesophageal	
Reflux358	
Sleep	
Related	
Myocardial	PATHOLOGICAL_FORMATION
Ischemia363	PATHOLOGICAL_FORMATION
Appendix	
B	
:	
ICD-10	
-	
CM	
Coding	
for	
Substance	
-	
Induced	
Sleep	
Disorders369	
Glossary	
371	
Index	
377	
Table	
of	
Contents	
About	
the	
Editor	
Michael	
Sateia	
,	
MD	CELL
,	
is	
Professor	
of	
Psychiatry	
at	
the	
Geisel	
School	
of	
Medicine	
at	
Dartmouth	
.	

He	
has	
served	
in	
a	
variety	
of	
leadership	
capacities	
in	
Sleep	
Medicine	
.	

He	
is	
Past	
-	
President	
of	
the	
American	
Academy	
of	
Sleep	
Medicine	
.	

Dr.	
Sateia	
was	
Associate	
Editor	
for	
the	
Journal	
of	
Clinical	
Sleep	
Medicine	
and	
chaired	
the	
Scientific	
Program	
Committee	
of	
the	
Associated	
Professional	
Sleep	
Societies	
.	

He	
was	
a	
member	
of	
the	
Research	
Advisory	
Board	
of	
the	
National	
Center	
on	
Sleep	
Disorders	
Research	
and	
held	
a	
five	
year	
Academic	
Award	
from	
the	
National	
Heart	ORGAN
,	
Lung	ORGAN
,	
and	
Blood	ORGANISM_SUBSTANCE
Institute	
.	

He	
served	
on	
the	
Accreditation	
Council	
on	
Graduate	
Medical	
Education	
Advisory	
Committee	
for	
Sleep	
Medicine	
and	
the	
American	
Board	
of	
Internal	
Medicine	
Policy	
and	
Test	
Committee	
for	
Sleep	
Medicine	
.	

His	
editing	
respon-	
sibilities	
have	
included	
the	
International	
Classification	
of	
Sleep	
Disorders	
,	
2nd	
Edition	
;	
the	
comprehensive	
textbook	
,	
Sleep	
Medicine	
;	
and	
Insomnia	
:	
Diagnosis	
and	
Treatment	
.	

In	
2009	
he	
received	
the	
Nathaniel	
Kleitman	
Award	
from	
the	
American	
Academy	
of	
Sleep	
Medicine	
.	

He	
currently	
serves	
as	
task	
force	
chair	
and	
editor	
for	
the	
International	
Classification	
of	
Sleep	
Disorders	
,	
3rd	
Edition	
,	
and	
chair	
of	
the	
task	
force	
on	
the	
pharmacological	
management	
of	
insomnia	
.	

He	
has	
authored	
numerous	
scientific	
articles	
in	
sleep	
medi-	
cine	
,	
focused	
primarily	
on	
insomnia	
and	
professional	
education	
in	
sleep	
.	

Editor	
’s	
Notes	

Many	
people	ORGANISM
contributed	
to	
the	
development	
of	
this	
manual	
.	

The	
members	
of	
the	
Task	
Force	
on	
ICSD-3	
,	
who	
also	
chaired	
individual	
work	
groups	
,	
devoted	
countless	
hours	
and	
tireless	
dedication	
to	
the	
work	
,	
as	
did	
the	
members	
of	
their	
respective	
work	
groups	
.	

Numerous	
reviewers	
also	
provided	
thoughtful	
recommendations	
which	
served	
to	
improve	
the	
text	
.	

These	
individuals	
are	
acknowledged	
individually	
on	
the	
following	
pages	
.	

A	
number	
of	
staff	
members	
of	
the	
American	
Academy	
of	
Sleep	
Medicine	
contributed	
to	
this	
work	
.	

Our	
field	
owes	
a	
particular	
debt	
of	
gratitude	
for	
the	
diligence	
,	
dedication	
and	
determination	
of	
Ms.	
Carolyn	
Winter	
-	
Rosenberg	
,	
Director	
of	
Coding	
and	
Compliance	
at	
the	
AASM	
,	
who	
oversaw	
all	
