Sleep				
Related				
Breathing				
Disorders				
Obstructive	condition	b		
Sleep	condition	i		
Apnea	condition	i		
Disorders	condition	i		
Obstructive	condition	b		
Sleep	condition	i		
Apnea	condition	i		
,				
Adult53	condition	b	typo	
Obstructive	condition	i		
Sleep	condition	i		
Apnea	condition	i		
,				
				
Pediatric63	condition	b	typo	
Central	condition	i		
Sleep	condition	i		
Apnea	condition	i		
Syndromes	condition	i		
Central	condition	b		
Sleep	condition	i		
Apnea	condition	i		
with	condition	i		
Cheyne	condition	i		
-	condition	i		
Stokes	condition	i		
Breathing	condition	i		
69				
Central	condition	b		
Apnea	condition	i		
Due	condition	i		
to	condition	i		
a	condition	i		
Medical	condition	i		
Disorder	condition	i		
without	condition	i		
Cheyne	condition	i		
-	condition	i		
Stokes	condition	i		
Breathing75	condition	i		
Central	condition	b		
Sleep	condition	i		
Apnea	condition	i		
	condition	i		
Due	condition	i		
to	condition	i		
High	condition	i		
Altitude	condition	i		
Periodic	condition	i		
Breathing	condition	i		
79				
Central	condition	b		
Sleep	condition	i		
Apnea	condition	i		
Due	condition	i		
to	condition	i		
a	condition	i		
Medication	condition	i		
or	condition	i		
Substance	condition	i		
85				
Primary	condition	b		
Central	condition	i		
Sleep	condition	i		
Apnea	condition	i		
				
89				
Primary	condition	b		
Central	condition	i		
Sleep	condition	i		
Apnea	condition	i		
of	condition	i		
Infancy94	condition	i		
Primary	condition	b		
Central	condition	i		
Sleep	condition	i		
Apnea	condition	i		
of	condition	i		
Prematurity98	condition	i	typo	
Treatment	condition	b		
-	condition	i		
Emergent	condition	i		
Central	condition	i		
Sleep	condition	i		
Apnea	condition	i		
102				
Sleep	condition	b		
Related	condition	i		
Hypoventilation	condition	i		
Disorders	condition	i		
Obesity	riskfactor	b		
Hypoventilation	condition	b		
Syndrome	condition	i		
108				
Congenital	condition	b		
Central	condition	i		
Alveolar	condition	i		
Hypoventilation	condition	i		
Syndrome	condition	i		
				
113				
Late	condition	b		
-				
Onset	condition	i		
Central	condition	i		
Hypoventilation	condition	i		
with	condition	i		
Hypothalamic	condition	i		
Dysfunction	condition	i		
118				
Idiopathic	condition	b		
Central	condition	i		
Alveolar	condition	i		
Hypoventilation	condition	i		
121				
Sleep	condition	b		
Related	condition	i		
Hypoventilation	condition	i		
Due	condition	i		
to	condition	i		
a	condition	i		
Medication	condition	i		
or	condition	i		
Substance	condition	i		
				
124				
Sleep	condition	b		
Related	condition	i		
Hypoventilation	condition	i		
Due	condition	i		
to	condition	i		
a	condition	i		
Medical	condition	i		
Disorder128	condition	i	typo	
Sleep	condition	b		
Related	condition	i		
Hypoxemia	condition	i		
Disorder	condition	i		
Sleep	condition	b		
Related	condition	i		
Hypoxemia134	condition	i	typo	
Isolated				
Symptoms				
and				
Normal				
Variants				
				
Snoring	symptom	b		
139				
Catathrenia	condition	b		
141				
The				
sleep				
related				
breathing				
disorders				
are				
characterized				
by				
abnormalities				
of				
respi-				
ration				
during				
sleep				
.				
				
In				
some				
of				
these				
disorders				
,				
respiration				
is				
also				
abnormal				
during				
wakefulness				
.				
				
The				
disorders				
are				
grouped				
into				
obstructive	condition	b		
sleep	condition	i		
apnea	condition	i		
(	condition	i		
OSA	condition	i		
)	condition	i		
disorders	condition	i		
,				
central	condition	b		
sleep	condition	i		
apnea	condition	i		
disorders	condition	i		
,				
sleep	condition	b		
related	condition	i		
hypoventilation	condition	i		
disorders	condition	i		
,				
and				
sleep	condition	b		
related	condition	i		
hypoxemia	condition	i		
disorder	condition	i		
.				
				
However				
,				
many				
patients				
will				
meet				
diagnostic				
criteria				
for				
more				
than				
one				
of				
these				
groups				
.				
				
In				
particular				
,				
many				
patients				
have				
a				
combination				
of				
obstruc-	condition	b		
tive	condition	i		
and	condition	i		
central	condition	i		
sleep	condition	i		
apnea	condition	i		
.				
				
Although				
a				
diagnosis				
is				
often				
based				
on				
which				
disorder				
Sleep				
Related				
Breathing				
Disorders				
predominates				
,				
this				
may				
vary				
from				
night				
to				
night				
as				
well				
as				
over				
time				
in				
individual				
patients				
.				
				
There				
is				
also				
overlap				
in				
pathophysiology	concept	b		
,				
as				
some				
central	concept	b		
apneas	concept	i		
are				
associ-				
ated				
with				
a				
closed	concept	b		
upper	concept	i		
airway	concept	i		
and				
many				
obstructive	concept	b		
apneas	concept	i		
begin				
during				
a				
time				
of				
falling	concept	b		
ventilatory	concept	i		
drive	concept	i		
.				
				
In				
the				
sections				
that				
follow				
,				
individual	concept	b		
respiratory	concept	i		
events	concept	i		
(				
e.g.				
,				
apneas	concept	b		
,				
hypopneas	concept	b		
,				
and				
hypoventilation	concept	b		
)				
are				
not				
defined				
;				
rather				
,				
reference				
is				
made				
to				
the				
most				
recent				
version				
of				
the				
American	document	b		
Academy	document	i		
of	document	i		
Sleep	document	i		
Medicine	document	i		
(	document	i		
AASM	document	i		
)	document	i		
Manual	document	i		
for	document	i		
the	document	i		
Scoring	document	i		
of	document	i		
Sleep	document	i		
and	document	i		
Associated	document	i		
Events	document	i		
for				
these				
definitions				
.				
				
The				
AASM	document	b		
Manual	document	i		
for	document	i		
the	document	i		
Scoring	document	i		
of	document	i		
Sleep	document	i		
and	document	i		
Associated	document	i		
Events	document	i		
includes				
different				
scoring				
rules				
for				
adult	concept	b		
and				
pediatric	concept	b		
individuals				
,				
definitions				
of				
obstructive	concept	b		
and	concept	i		
central	concept	i		
apneas	concept	i		
and				
hypopneas	concept	b		
,				
and				
rules				
for				
scoring				
Cheyne	condition	b		
-	condition	i		
Stokes	condition	i		
breathing	condition	i		
and				
hypoventilation	condition	b		
.				
				
The				
OSA	condition	b		
disorders	condition	i		
are				
separated				
into				
adult	concept	b		
and	concept	i		
pediatric	concept	i		
categories	concept	i		
,				
as				
the				
presenta-				
tion				
,				
diagnostic				
criteria				
,				
course				
,				
and				
complications				
differ				
significantly				
.				
				
These				
disorders				
are				
characterized				
by				
upper	concept	b		
airway	concept	i		
narrowing	concept	i		
or	concept	i		
closure	concept	i		
during				
sleep				
while				
respiratory	concept	b		
effort	concept	i		
continues			something	
(				
at				
least				
during				
some				
portion				
of				
the				
event				
)				
.				
				
The				
use				
of				
out	test	b		
-	test	i		
of	test	i		
-	test	i		
cen-	test	i		
ter	test	i		
sleep	test	i		
testing	test	i		
(				
OCST	test	b		
)				
with				
limited	concept	b		
channels	concept	i		
(				
electroencephalogram	test	b		
[				
EEG	test	b		
]				
is				
not				
usually				
recorded				
)				
is				
now				
included				
in				
the				
diagnostic				
criteria				
for				
adult	condition	b		
OSA	condition	i		
.				
				
The				
central	condition	b		
sleep	condition	i		
apnea	condition	i		
syndromes	condition	i		
are				
characterized				
by				
reduction				
or				
cessation				
of				
airflow				
due				
to				
absent				
or				
reduced				
respiratory	concept	b		
effort	concept	i		
.				
				
Central	concept	b		
apnea	concept	i		
or				
hypopnea	concept	b		
may				
occur				
in				
a				
cyclical	concept	b		
or	concept	i		
intermittent	concept	i		
fashion	concept	i		
.				
				
Patients				
with				
central	condition	b		
sleep	condition	i		
apnea	condition	i		
of				
various				
etiologies	concept	b		
may				
also				
exhibit				
OSA	condition	b		
.				
				
In				
primary	condition	b		
central	condition	i		
sleep	condition	i		
apnea	condition	i		
,				
the				
cause				
of				
the				
disorder				
is				
unknown				
(				
idiopathic	concept	b		
)				
.				
				
The				
arterial	concept	b		
partial	concept	i		
pressure	concept	i		
of	concept	i		
carbon	concept	i		
dioxide	concept	i		
(				
PaCO2	concept	b		
)				
during				
wake				
in				
these				
patients				
is				
normal			something	
or				
low				
.				
				
Patients				
do				
not				
meet				
diagnostic				
criteria				
for				
other				
central	condition	b		
sleep	condition	i		
apnea	condition	i		
dis-	condition	i		
orders	condition	i		
.				
				
In				
central	condition	b		
sleep	condition	i		
apnea	condition	i		
with	condition	i		
Cheyne	condition	i		
-	condition	i		
Stokes	condition	i		
breathing	condition	i		
,				
there				
is				
a				
cyclical				
pattern				
of				
crescendo	symptom	b		
-	symptom	i		
decrescendo	symptom	i		
respiration	symptom	i		
separated				
by				
central	concept	b		
apneas	concept	i		
or				
central	concept	b		
hypopneas	concept	i		
.				
				
Most				
patients				
with				
this				
disorder				
have				
congestive	riskfactor	b		
heart	riskfactor	i		
failure	riskfactor	i		
(				
reduced	riskfactor	b		
or	riskfactor	i		
preserved	riskfactor	i		
ejection	riskfactor	i		
fraction	riskfactor	i		
)				
,				
although				
,				
less				
commonly				
,				
others				
